State	State Code	ZCTA	Congressional District Number	CD	2016 House Margin
NE	31	68111	2	NE2	1.2
NE	31	68112	2	NE2	1.2
NE	31	68114	2	NE2	1.2
NE	31	68116	2	NE2	1.2
NE	31	68117	2	NE2	1.2
NE	31	68118	2	NE2	1.2
NE	31	68122	2	NE2	1.2
NE	31	68123	2	NE2	1.2
NE	31	68124	2	NE2	1.2
NE	31	68127	2	NE2	1.2
NE	31	68128	2	NE2	1.2
NE	31	68130	2	NE2	1.2
NE	31	68131	2	NE2	1.2
NE	31	68132	2	NE2	1.2
NE	31	68133	2	NE2	1.2
NE	31	68134	2	NE2	1.2
NE	31	68135	2	NE2	1.2
NE	31	68136	2	NE2	1.2
NE	31	68137	2	NE2	1.2
NE	31	68138	2	NE2	1.2
NE	31	68142	2	NE2	1.2
NE	31	68144	2	NE2	1.2
NE	31	68147	2	NE2	1.2
NE	31	68152	2	NE2	1.2
NE	31	68154	2	NE2	1.2
NE	31	68157	2	NE2	1.2
NE	31	68164	2	NE2	1.2
NE	31	68178	2	NE2	1.2
NV	32	89002	3	NV3	1.2
NV	32	89004	3	NV3	1.2
NV	32	89005	3	NV3	1.2
NV	32	89011	3	NV3	1.2
NV	32	89012	3	NV3	1.2
NV	32	89014	3	NV3	1.2
NV	32	89015	3	NV3	1.2
NV	32	89019	3	NV3	1.2
NV	32	89026	3	NV3	1.2
NV	32	89029	3	NV3	1.2
NV	32	89039	3	NV3	1.2
NV	32	89044	3	NV3	1.2
NV	32	89046	3	NV3	1.2
NV	32	89052	3	NV3	1.2
NV	32	89054	3	NV3	1.2
NV	32	89074	3	NV3	1.2
NV	32	89113	3	NV3	1.2
NV	32	89117	3	NV3	1.2
NV	32	89118	3	NV3	1.2
NV	32	89119	3	NV3	1.2
NV	32	89120	3	NV3	1.2
NV	32	89122	3	NV3	1.2
NV	32	89123	3	NV3	1.2
NV	32	89124	3	NV3	1.2
NV	32	89134	3	NV3	1.2
NV	32	89135	3	NV3	1.2
NV	32	89138	3	NV3	1.2
NV	32	89139	3	NV3	1.2
NV	32	89141	3	NV3	1.2
NV	32	89144	3	NV3	1.2
NV	32	89145	3	NV3	1.2
NV	32	89147	3	NV3	1.2
NV	32	89148	3	NV3	1.2
NV	32	89156	3	NV3	1.2
NV	32	89161	3	NV3	1.2
NV	32	89178	3	NV3	1.2
NV	32	89179	3	NV3	1.2
NV	32	89183	3	NV3	1.2
TX	48	76841	23	TX23	1.3
TX	48	76932	23	TX23	1.3
TX	48	76935	23	TX23	1.3
TX	48	76936	23	TX23	1.3
TX	48	76943	23	TX23	1.3
TX	48	76950	23	TX23	1.3
TX	48	78001	23	TX23	1.3
TX	48	78002	23	TX23	1.3
TX	48	78003	23	TX23	1.3
TX	48	78005	23	TX23	1.3
TX	48	78006	23	TX23	1.3
TX	48	78009	23	TX23	1.3
TX	48	78014	23	TX23	1.3
TX	48	78015	23	TX23	1.3
TX	48	78016	23	TX23	1.3
TX	48	78017	23	TX23	1.3
TX	48	78019	23	TX23	1.3
TX	48	78021	23	TX23	1.3
TX	48	78023	23	TX23	1.3
TX	48	78039	23	TX23	1.3
TX	48	78052	23	TX23	1.3
TX	48	78056	23	TX23	1.3
TX	48	78057	23	TX23	1.3
TX	48	78059	23	TX23	1.3
TX	48	78061	23	TX23	1.3
TX	48	78066	23	TX23	1.3
TX	48	78069	23	TX23	1.3
TX	48	78073	23	TX23	1.3
TX	48	78112	23	TX23	1.3
TX	48	78211	23	TX23	1.3
TX	48	78214	23	TX23	1.3
TX	48	78220	23	TX23	1.3
TX	48	78221	23	TX23	1.3
TX	48	78222	23	TX23	1.3
TX	48	78223	23	TX23	1.3
TX	48	78224	23	TX23	1.3
TX	48	78227	23	TX23	1.3
TX	48	78230	23	TX23	1.3
TX	48	78231	23	TX23	1.3
TX	48	78232	23	TX23	1.3
TX	48	78236	23	TX23	1.3
TX	48	78245	23	TX23	1.3
TX	48	78248	23	TX23	1.3
TX	48	78249	23	TX23	1.3
TX	48	78251	23	TX23	1.3
TX	48	78252	23	TX23	1.3
TX	48	78253	23	TX23	1.3
TX	48	78254	23	TX23	1.3
TX	48	78255	23	TX23	1.3
TX	48	78256	23	TX23	1.3
TX	48	78257	23	TX23	1.3
TX	48	78258	23	TX23	1.3
TX	48	78260	23	TX23	1.3
TX	48	78264	23	TX23	1.3
TX	48	78801	23	TX23	1.3
TX	48	78802	23	TX23	1.3
TX	48	78827	23	TX23	1.3
TX	48	78828	23	TX23	1.3
TX	48	78829	23	TX23	1.3
TX	48	78830	23	TX23	1.3
TX	48	78832	23	TX23	1.3
TX	48	78833	23	TX23	1.3
TX	48	78834	23	TX23	1.3
TX	48	78836	23	TX23	1.3
TX	48	78837	23	TX23	1.3
TX	48	78838	23	TX23	1.3
TX	48	78839	23	TX23	1.3
TX	48	78840	23	TX23	1.3
TX	48	78843	23	TX23	1.3
TX	48	78850	23	TX23	1.3
TX	48	78851	23	TX23	1.3
TX	48	78852	23	TX23	1.3
TX	48	78860	23	TX23	1.3
TX	48	78861	23	TX23	1.3
TX	48	78870	23	TX23	1.3
TX	48	78871	23	TX23	1.3
TX	48	78872	23	TX23	1.3
TX	48	78877	23	TX23	1.3
TX	48	78879	23	TX23	1.3
TX	48	78880	23	TX23	1.3
TX	48	78881	23	TX23	1.3
TX	48	78884	23	TX23	1.3
TX	48	78886	23	TX23	1.3
TX	48	79718	23	TX23	1.3
TX	48	79719	23	TX23	1.3
TX	48	79730	23	TX23	1.3
TX	48	79731	23	TX23	1.3
TX	48	79734	23	TX23	1.3
TX	48	79735	23	TX23	1.3
TX	48	79739	23	TX23	1.3
TX	48	79742	23	TX23	1.3
TX	48	79743	23	TX23	1.3
TX	48	79744	23	TX23	1.3
TX	48	79745	23	TX23	1.3
TX	48	79752	23	TX23	1.3
TX	48	79754	23	TX23	1.3
TX	48	79755	23	TX23	1.3
TX	48	79756	23	TX23	1.3
TX	48	79766	23	TX23	1.3
TX	48	79770	23	TX23	1.3
TX	48	79772	23	TX23	1.3
TX	48	79777	23	TX23	1.3
TX	48	79778	23	TX23	1.3
TX	48	79780	23	TX23	1.3
TX	48	79781	23	TX23	1.3
TX	48	79785	23	TX23	1.3
TX	48	79788	23	TX23	1.3
TX	48	79789	23	TX23	1.3
TX	48	79830	23	TX23	1.3
TX	48	79831	23	TX23	1.3
TX	48	79834	23	TX23	1.3
TX	48	79836	23	TX23	1.3
TX	48	79837	23	TX23	1.3
TX	48	79838	23	TX23	1.3
TX	48	79839	23	TX23	1.3
TX	48	79842	23	TX23	1.3
TX	48	79843	23	TX23	1.3
TX	48	79845	23	TX23	1.3
TX	48	79846	23	TX23	1.3
TX	48	79847	23	TX23	1.3
TX	48	79848	23	TX23	1.3
TX	48	79849	23	TX23	1.3
TX	48	79851	23	TX23	1.3
TX	48	79852	23	TX23	1.3
TX	48	79853	23	TX23	1.3
TX	48	79854	23	TX23	1.3
TX	48	79855	23	TX23	1.3
TX	48	79907	23	TX23	1.3
TX	48	79927	23	TX23	1.3
TX	48	79928	23	TX23	1.3
